slug,name,company_type,ticker,website,headquarters_country,owned_project_count,linked_project_count,description
airtrunk,AirTrunk,COLOCATION_PROVIDER,,,,1,0,
aligned-data-centers,Aligned Data Centers,COLOCATION_PROVIDER,,,,1,0,
amazon-web-services,Amazon Web Services,HYPERSCALER,AMZN,,United States,5,0,
anthropic,Anthropic,NEOCLOUD,,,United States,0,1,
applied-digital,Applied Digital,OTHER,APLD,,,1,0,
bell-canada,Bell Canada,OTHER,BCE,,,1,0,
brookfield,Brookfield,REAL_ESTATE,BN,,Canada,0,1,
bytedance,ByteDance,HYPERSCALER,,,,2,0,
bytedance-volcano-engine,ByteDance (Volcano Engine),HYPERSCALER,,,,1,0,
cassava-technologies,Cassava Technologies,NEOCLOUD,,,,1,0,
china-telecom,China Telecom,OTHER,0728.HK,,,1,0,
china-telecom-chips-cluster-by-alibaba-t-head,China Telecom (chips/cluster by Alibaba T-Head),OTHER,0728.HK,,,1,0,
cipher-mining,Cipher Mining,OTHER,CIFR,,,1,0,
cisco,Cisco,NETWORKING_VENDOR,CSCO,,United States,0,1,
cloudhq,CloudHQ,COLOCATION_PROVIDER,,,,2,0,
compass-datacenters,Compass Datacenters,COLOCATION_PROVIDER,,,,1,0,
core-scientific,Core Scientific,OTHER,CORZ,,,1,0,
coreweave,CoreWeave,NEOCLOUD,CRWV,,,2,0,
crusoe-energy,Crusoe Energy,NEOCLOUD,,,United States,2,0,
cyrusone,CyrusOne,COLOCATION_PROVIDER,,,,1,0,
datavolt,DataVolt,COLOCATION_PROVIDER,,,,1,0,
deutsche-telekom,Deutsche Telekom,OTHER,,,,1,0,
ecocloud,EcoCloud,OTHER,,,,1,0,
fir-hills-inc-stock-farm-road-with-jeollanam-do-provincial-government,Fir Hills Inc (Stock Farm Road) with Jeollanam-do provincial government,OTHER,,,,1,0,
firmus-technologies,Firmus Technologies,NEOCLOUD,,,,1,0,
fluidstack,Fluidstack,NEOCLOUD,,,,1,0,
forschungszentrum-julich,Forschungszentrum Jülich,GOVERNMENT,,,,1,0,
foxconn,Foxconn,OTHER,,,,1,0,
g42,G42,OTHER,,,United Arab Emirates,1,0,
galaxy-digital,Galaxy Digital,OTHER,GLXY,,,1,0,
google,Google,HYPERSCALER,GOOGL,,,4,0,
google-inversiones-y-servicios-dataluna,Google (Inversiones y Servicios Dataluna),HYPERSCALER,GOOGL,,,1,0,
humain,HUMAIN,GOVERNMENT,,,,2,0,
hut-8,Hut 8,OTHER,HUT,,,1,0,
iren,IREN,OTHER,IREN,,,2,0,
kddi,KDDI,OTHER,9433.T,,,1,0,
khazna-data-centers,Khazna Data Centers,COLOCATION_PROVIDER,,,,1,0,
lambda,Lambda,NEOCLOUD,,,,1,0,
mgx,MGX,OTHER,,,,1,0,
merlin-properties,Merlin Properties,COLOCATION_PROVIDER,,,,1,0,
meta,Meta,HYPERSCALER,META,,United States,4,0,
microsoft,Microsoft,HYPERSCALER,MSFT,,United States,4,0,
naver,NAVER,HYPERSCALER,035420.KS,,South Korea,1,1,
nvidia,NVIDIA,GPU_VENDOR,NVDA,,United States,0,2,
nebius-group,Nebius Group,NEOCLOUD,NBIS,,,4,0,
nexus-core-systems,Nexus Core Systems,NEOCLOUD,,,,1,0,
nscale,Nscale,NEOCLOUD,,,,4,0,
o-leary-ventures,O'Leary Ventures,COLOCATION_PROVIDER,,,,1,0,
oklo,Oklo,POWER_VENDOR,OKLO,,United States,0,1,
ooredoo,Ooredoo,OTHER,,,,1,0,
openai,OpenAI,NEOCLOUD,,,United States,0,6,
oracle,Oracle,HYPERSCALER,ORCL,,United States,4,3,
poolside,Poolside,OTHER,,,,1,0,
prometheus-hyperscale,Prometheus Hyperscale,COLOCATION_PROVIDER,,,,1,0,
qts-data-centers,QTS Data Centers,COLOCATION_PROVIDER,,,,1,0,
related-digital,Related Digital,COLOCATION_PROVIDER,,,,1,0,
reliance-industries,Reliance Industries,OTHER,,,,1,0,
sk-group,SK Group,OTHER,,,,1,0,
sk-telecom,SK Telecom,OTHER,SKM,,,1,0,
sakura-internet,Sakura Internet,NEOCLOUD,3778.T,,,1,0,
samsung-group,Samsung Group,OTHER,,,,1,0,
scala-data-centers,Scala Data Centers,COLOCATION_PROVIDER,,,,1,0,
softbank,SoftBank,OTHER,9984.T,,,2,0,
softbank-group,SoftBank Group,OTHER,9984.T,,Japan,0,4,
sur-energy,Sur Energy,OTHER,,,,1,0,
telus-with-nvidia-and-hpe,TELUS (with NVIDIA and HPE),OTHER,T.TO,,,1,0,
tata-group,Tata Group,OTHER,,,,1,0,
terawulf,TeraWulf,OTHER,WULF,,,2,0,
terrapower,TerraPower,POWER_VENDOR,,,United States,0,1,
tesla,Tesla,OTHER,TSLA,,,1,0,
ubilink-jv-of-foxlink-ubitus-shinfox-energy,"Ubilink (JV of Foxlink, Ubitus, Shinfox Energy)",NEOCLOUD,,,,1,0,
university-of-bristol,University of Bristol,GOVERNMENT,,,,1,0,
vantage-data-centers,Vantage Data Centers,COLOCATION_PROVIDER,,,United States,2,0,
vistra,Vistra,POWER_VENDOR,VST,,United States,0,1,
ytl-power-international,YTL Power International,COLOCATION_PROVIDER,,,,1,0,
yiwu-county-hami-xinjiang-government-backed-developers,"Yiwu County (Hami, Xinjiang) government-backed developers",GOVERNMENT,,,,1,0,
z-ai-formerly-zhipu-ai,Z.ai (formerly Zhipu AI),OTHER,,,,1,0,
estruxture-data-centers,eStruxture Data Centers,COLOCATION_PROVIDER,,,,1,0,
xai,xAI,NEOCLOUD,,,United States,3,0,
